cluster index	CF_componentindex	CF_NrNodes	CF_kingdom	CF_kingdom_score	CF_superclass	CF_superclass_score	CF_class	CF_class_score	CF_subclass	CF_subclass_score	CF_Dparent	CF_Dparent_score	CF_MFramework	CF_MFramework_score
4120	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
4334	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
4587	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
4839	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
4871	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
6693	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
6714	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
6741	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
6779	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
6793	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
6810	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
6850	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
6869	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
7556	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
7588	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
7591	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
7595	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
7606	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
7620	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
7624	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
7625	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
7645	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
7702	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
7705	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
7712	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
7713	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
7731	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
7750	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
7799	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
7804	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
7814	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
7839	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
7858	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
7862	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
7864	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
7916	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
7956	72	100		0.9793333333333334		0.9793333333333334		0.9793333333333334		0.9835555555555555		0.9793333333333334		0.9793333333333334
