CLUSTERID1	interaction	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex	EdgeAnnotation	shared_motifs	TopSharedMotifs
7208	cosine	7209	0.0	7208.0	0.867	7208.0	3	 	['motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7783	cosine	7996	-25.003	7783.0	0.9147	7783.0	3	 	['motif_93', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5754	cosine	5758	0.0	5754.0	0.8775	5754.0	3	 	['motif_131', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5923	cosine	8163	-266.26	5923.0	0.8163	5923.0	3	 	['motif_83', 'motif_53']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7964	cosine	8150	-26.011	7964.0	0.9147	7964.0	3	 	['motif_53', 'motif_104', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5536	cosine	5840	-26.018	5536.0	0.8369	5536.0	3	 	['motif_131', 'motif_14', 'motif_53', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5936	cosine	5974	-3.978	5936.0	0.8197	5936.0	3	 	[]	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
5639	cosine	7453	-212.21200000000002	5639.0	0.9222	5639.0	3	 	['motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7739	cosine	7969	-26.016	7739.0	0.9159999999999999	7739.0	3	 	['motif_53', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
4949	cosine	6341	-104.06299999999999	4949.0	0.8736	4949.0	3	 	['motif_93', 'motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
7940	cosine	7941	-1.003	7940.0	0.9064	7940.0	3	 	['motif_83']	['motif_83', 'motif_53', 'motif_14', 'motif_93', 'motif_104']
