,SMILES
98,[C@@]12([C@@H](C(CCC2)(C)C)[C@@H](CC(=C)[C@@H]1CC[C@@H](CCO)C)O)C
99,[C@H]([C@@H](/C=C/C=C/CCCCCCC)O)(NC(=O)CCCCCCCCCCCCCCCCCCCCC)CO
100,C(=O)(OC)CCCCCCCC/C=C/C=C/CCCCC
101,[C@@H]12[C@@]([C@H]([C@](CC2)(O)C)CC/C(=C/CO)/C)(CC[C@@H](C1(C)C)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)C
102,C[C@]12CC[C@@](C[C@H]1[C@@]1(CC=C3C(=CC[C@@H]4[C@@]3(CC[C@H](C4(C)C)OC(=O)c3ccccc3)C)[C@]1(CC2)C)C)(C)CO
103,[C@H]1(C(/C/2=C/c3c(cc([nH]3)/C=c/3\[nH]/c(=C\c4[nH]c(/C=C/1\N2)c(c4C)CCC(=O)OC)/cc3C)C)(C)C)CCC(=O)N[C@H]([C@H](CC)C)C(=O)OC
104,CC(C)[C@H](CC[NH2+]Cc1ccc(cc1)OC)[C@@H]1CCOC(C1)(C)C
105,[C@]12([C@@H]3C(=CC[C@H]1[C@@](CCC2)(COC(=O)CC(=O)OCC)C)[C@H]([C@@H](CC3)C(C)C)OC(=O)C)C
106,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O)OC(=O)/C(=C/c1ccc(c(c1)OC)O)/CC(C)C)OC(=O)C)O
107,C12=C(C[C@@H]([C@@]1(C=C1[C@@H]([C@@H]([C@@H]([C@H]2O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](O2)COC(C=C)(C)C)OC(=O)C)O)O)O)C)CC[C@H]1COC)C)O)[C@@H](CO)C
108,CCCCCCCC[C@H]1CC[C@@H]2[C@@]1(CC[C@H]1[C@H]2CC=C2[C@@]1(CC[C@@H](C2)OC(=O)Oc1ccccc1F)C)C
109,[C@@]12([C@@]3(C4=C([C@H](C2)C3)[C@H](CC[C@@H]2[C@@](C4)(CC[C@@H]2C(C)C)C)C)C)[C@H]2[C@@H](OC1=O)C[C@]1([C@H](C2)C(=CCC1)C)C
110,[C@@]12([C@]3(c4c(NC1=O)ccc(c4)O)[C@@H]1[C@](C2)(C=CCN1CC3)C=C)C(=O)CO
