CLUSTERID1	interaction	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ	MEH	OtherScore	shared_motifs	TopSharedMotifs
2490	cosine	6505	6.0	0.8642	-15.997	0.0	0.0	['motif_131', 'motif_72', 'motif_13']	['motif_131', 'motif_72', 'motif_13']
2516	cosine	6489	6.0	0.8696	-2.016	0.0	0.0	['motif_131', 'motif_72']	['motif_131', 'motif_72', 'motif_13']
2444	cosine	6700	6.0	0.8401	-21.985	0.0	0.0	['motif_131', 'motif_72']	['motif_131', 'motif_72', 'motif_13']
6505	cosine	6700	6.0	0.8469	-21.983	0.0	0.0	['motif_131', 'motif_72']	['motif_131', 'motif_72', 'motif_13']
2444	cosine	6489	6.0	0.8637	-2.016	0.0	0.0	['motif_131', 'motif_72']	['motif_131', 'motif_72', 'motif_13']
2020	cosine	2516	6.0	0.9044	2.016	0.0	0.0	['motif_131', 'motif_72']	['motif_131', 'motif_72', 'motif_13']
2020	cosine	6489	6.0	0.9287	-0.0	0.0	0.0	['motif_131', 'motif_72']	['motif_131', 'motif_72', 'motif_13']
6505	cosine	6583	6.0	0.892	24.000999999999998	0.0	0.0	['motif_131', 'motif_72']	['motif_131', 'motif_72', 'motif_13']
2020	cosine	2444	6.0	0.9022	2.016	0.0	0.0	['motif_131', 'motif_72']	['motif_131', 'motif_72', 'motif_13']
6489	cosine	6583	6.0	0.9027	26.016	0.0	0.0	['motif_131', 'motif_72']	['motif_131', 'motif_72', 'motif_13']
4800	cosine	6700	6.0	0.8694	-19.971	0.0	0.0	['motif_131', 'motif_72']	['motif_131', 'motif_72', 'motif_13']
6489	cosine	6700	6.0	0.863	-19.969	0.0	0.0	['motif_131', 'motif_72']	['motif_131', 'motif_72', 'motif_13']
2444	cosine	2516	6.0	0.9037	0.0	0.0	0.0	['motif_131', 'motif_72']	['motif_131', 'motif_72', 'motif_13']
2516	cosine	4800	6.0	0.9053	-2.0140000000000002	0.0	0.0	['motif_131', 'motif_72']	['motif_131', 'motif_72', 'motif_13']
6583	cosine	6700	6.0	0.8426	-45.985	0.0	0.0	['motif_131', 'motif_72']	['motif_131', 'motif_72', 'motif_13']
2444	cosine	2490	6.0	0.8517	15.995	0.0	0.0	['motif_131', 'motif_72']	['motif_131', 'motif_72', 'motif_13']
2490	cosine	6489	6.0	0.8663	-18.012	0.0	0.0	['motif_131', 'motif_72']	['motif_131', 'motif_72', 'motif_13']
2020	cosine	6505	6.0	0.9203	2.0140000000000002	0.0	0.0	['motif_131', 'motif_72']	['motif_131', 'motif_72', 'motif_13']
2444	cosine	9274	6.0	0.7276	93.061	0.0	0.0	None	['motif_131', 'motif_72', 'motif_13']
2020	cosine	6700	6.0	0.8634	-19.969	0.0	0.0	['motif_131', 'motif_72']	['motif_131', 'motif_72', 'motif_13']
2020	cosine	6583	6.0	0.909	26.016	0.0	0.0	['motif_131', 'motif_72']	['motif_131', 'motif_72', 'motif_13']
2516	cosine	6700	6.0	0.8424	-21.985	0.0	0.0	['motif_131', 'motif_72']	['motif_131', 'motif_72', 'motif_13']
2444	cosine	4800	6.0	0.9091	-2.0140000000000002	0.0	0.0	['motif_131', 'motif_72']	['motif_131', 'motif_72', 'motif_13']
4800	cosine	6583	6.0	0.9116	26.014	0.0	0.0	['motif_131', 'motif_72']	['motif_131', 'motif_72', 'motif_13']
2490	cosine	2516	6.0	0.8808	-15.995	0.0	0.0	['motif_131', 'motif_72']	['motif_131', 'motif_72', 'motif_13']
2020	cosine	2490	6.0	0.8798	18.011	0.0	0.0	['motif_131', 'motif_72']	['motif_131', 'motif_72', 'motif_13']
2516	cosine	6505	6.0	0.892	-0.002	0.0	0.0	['motif_131', 'motif_72']	['motif_131', 'motif_72', 'motif_13']
