CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
535	6508	14	0.9222	-14.016
3610	7697	14	0.9505	-88.053
3483	4728	14	0.9248	-14.015
4733	6491	14	0.9471	14.016
485	490	14	0.9593	14.015
3607	4784	14	0.9557	-0.016
3607	7573	14	0.9562	-0.001
6470	7513	14	0.9578	88.056
531	4768	14	0.9365	-44.026
6437	7573	14	0.9602	-88.051
6502	7570	14	0.9225	0.001
500	654	14	0.9556	-14.017
3487	7502	14	0.9562	0.002
3553	4760	14	0.9193	-0.000
569	3211	14	0.9592	0.001
500	4733	14	0.959	-0.001
624	4845	14	0.9402	-0.004
6508	7503	14	0.9487	-14.010
3487	7503	14	0.9363	-44.020
705	4785	14	0.9077	14.017
583	7570	14	0.9171	-14.014
485	500	14	0.9523	-44.026
560	6458	14	0.9339	-14.017
3562	4768	14	0.9247	-0.001
3509	7513	14	0.9627	0.001
3509	7573	14	0.9511	-88.054
485	4729	14	0.9548	0.000
3563	4854	14	0.9013	-14.017
495	2675	14	0.9408	14.017
2657	3531	14	0.9395	-14.011
6670	7749	14	0.921	0.000
4733	4784	14	0.9471	-88.065
583	588	14	0.8952	-14.016
592	3211	14	0.9511	14.017
4733	6437	14	0.9552	0.000
531	6471	14	0.9249	-14.015
3546	6491	14	0.9573	44.026
4729	6436	14	0.958	0.000
486	6471	14	0.9493	0.000
654	6491	14	0.953	28.032
2663	6441	14	0.9378	-0.001
500	3509	14	0.9661	0.003
531	4728	14	0.952	-28.030
3607	7669	14	0.958	-88.051
490	4729	14	0.9378	-14.015
524	7697	14	0.9387	-132.079
524	3531	14	0.9412	-14.011
4779	6491	14	0.9372	0.001
2657	6491	14	0.9534	44.027
654	6437	14	0.9642	14.016
3487	6471	14	0.9425	14.016
4728	6440	14	0.9327	-0.000
592	7573	14	0.9595	0.002
4729	4768	14	0.9396	28.031
3509	6470	14	0.9556	-88.055
592	6470	14	0.9651	0.001
588	6502	14	0.918	0.000
3509	6491	14	0.9598	14.013
654	3509	14	0.9554	14.020
486	7502	14	0.9498	-14.014
500	6491	14	0.962	14.015
486	531	14	0.9474	14.015
560	2682	14	0.9275	-0.001
7607	7669	14	0.9501	-44.025
486	6440	14	0.9509	-14.016
6436	7503	14	0.9429	0.005
491	7502	14	0.9572	0.002
3563	4785	14	0.9088	-0.000
1334	4845	14	0.9398	44.023
569	3610	14	0.9569	0.000
495	556	14	0.9408	14.017
6440	7503	14	0.9335	-44.020
491	6471	14	0.9421	14.016
686	2657	14	0.9438	28.031
3531	6458	14	0.9361	14.010
4742	6441	14	0.9432	0.001
6436	7502	14	0.9309	44.027
4729	7503	14	0.9499	0.006
6528	7607	14	0.9394	0.004
3615	4854	14	0.8675	-28.033
7607	7697	14	0.9423	-30.015
533	3531	14	0.9428	0.004
491	531	14	0.9524	28.031
531	6440	14	0.9367	-28.030
2657	3546	14	0.9463	0.001
3563	3615	14	0.915	14.016
3504	6491	14	0.944	-44.026
592	3509	14	0.9612	88.056
3509	4784	14	0.9456	-88.069
495	2657	14	0.9406	-44.026
490	7503	14	0.9529	-14.009
4785	4854	14	0.8867	-14.017
7513	7534	14	0.9486	-44.026
665	3610	14	0.9594	44.026
524	7534	14	0.9435	-14.011
6458	7534	14	0.9428	-14.011
533	6441	14	0.9377	0.000
531	4760	14	0.9231	0.001
665	1334	14	0.9463	14.018
569	7697	14	0.9565	-88.053
3563	6502	14	0.908	0.000
3509	6437	14	0.9668	-0.003
3487	4728	14	0.9461	0.001
4784	7669	14	0.9543	-88.035
3211	3610	14	0.9503	-0.001
485	6436	14	0.9566	0.001
3562	6501	14	0.9059	-0.001
2663	2695	14	0.9474	-44.028
583	705	14	0.9197	-28.032
500	7573	14	0.951	-88.051
705	3563	14	0.9265	14.017
624	3607	14	0.9489	-28.032
3546	6458	14	0.9406	-0.002
495	500	14	0.9561	-14.014
4785	7570	14	0.912	0.001
665	4845	14	0.935	58.042
490	6436	14	0.9393	-14.015
500	6470	14	0.9602	-88.052
490	6508	14	0.9444	0.000
6437	7513	14	0.9619	0.004
661	3723	14	0.9117	0.003
6441	7534	14	0.949	0.003
2663	7534	14	0.9397	0.002
3504	6471	14	0.9309	44.026
569	624	14	0.9507	14.020
583	3483	14	0.9203	-44.026
524	686	14	0.9488	-28.031
592	3607	14	0.9684	0.003
705	3615	14	0.8825	28.033
490	3507	14	0.9469	-14.013
6470	7573	14	0.9701	0.001
3531	3546	14	0.9507	14.012
4733	7513	14	0.9596	0.004
3610	6470	14	0.9586	-14.015
556	654	14	0.9331	-42.048
3607	3610	14	0.9606	14.013
491	3487	14	0.9615	0.000
485	491	14	0.9429	44.025
7749	7917	14	0.9192	-44.026
4728	6502	14	0.9312	44.026
6528	7749	14	0.9087	-88.051
3509	4733	14	0.9563	-0.004
500	6437	14	0.9708	-0.001
588	3615	14	0.888	14.016
654	2675	14	0.9331	42.048
569	6470	14	0.9557	-14.015
1334	3685	14	0.9305	-14.018
3615	7570	14	0.907	-14.015
3507	6436	14	0.9412	-0.002
4728	4785	14	0.9309	44.026
491	7503	14	0.9447	-44.019
592	3610	14	0.9579	14.015
686	3546	14	0.9537	28.033
535	3562	14	0.9172	0.001
